img_path,label
0.jpeg,0
1.jpeg,0
2.jpeg,0
3.jpeg,0
4.jpeg,0
5.jpeg,0
6.jpeg,0
7.jpeg,0
8.jpeg,0
9.jpeg,0
10.jpeg,0
11.jpeg,0
12.jpeg,0
13.jpeg,0
14.jpeg,0
15.jpeg,0
16.jpeg,0
17.jpeg,0
18.jpeg,0
19.jpeg,0
20.jpeg,0
21.jpeg,0
22.jpeg,0
23.jpeg,0
24.jpeg,0
25.jpeg,0
26.jpeg,0
27.jpeg,0
28.jpeg,0
29.jpeg,0
30.jpeg,0
31.jpeg,0
32.jpeg,0
33.jpeg,0
34.jpeg,0
35.jpeg,0
36.jpeg,0
37.jpeg,0
38.jpeg,0
39.jpeg,0
40.jpeg,0
41.jpeg,0
42.jpeg,0
43.jpeg,0
44.jpeg,0
45.jpeg,0
46.jpeg,0
47.jpeg,0
48.jpeg,0
49.jpeg,0
50.jpeg,0
51.jpeg,0
52.jpeg,0
53.jpeg,0
54.jpeg,0
55.jpeg,0
56.jpeg,0
57.jpeg,0
58.jpeg,0
59.jpeg,0
60.jpeg,0
61.jpeg,0
62.jpeg,0
63.jpeg,0
64.jpeg,0
65.jpeg,0
66.jpeg,0
67.jpeg,0
68.jpeg,0
69.jpeg,0
70.jpeg,0
71.jpeg,0
72.jpeg,0
73.jpeg,0
74.jpeg,0
75.jpeg,0
76.jpeg,0
77.jpeg,0
78.jpeg,0
79.jpeg,0
80.jpeg,0
81.jpeg,0
82.jpeg,0
83.jpeg,0
84.jpeg,0
85.jpeg,0
86.jpeg,0
87.jpeg,0
88.jpeg,0
89.jpeg,0
90.jpeg,0
91.jpeg,0
92.jpeg,0
93.jpeg,0
94.jpeg,0
95.jpeg,0
96.jpeg,0
97.jpeg,0
98.jpeg,0
99.jpeg,0
100.jpeg,0
101.jpeg,0
102.jpeg,0
103.jpeg,0
104.jpeg,0
105.jpeg,0
106.jpeg,0
107.jpeg,0
108.jpeg,0
109.jpeg,0
110.jpeg,0
111.jpeg,0
112.jpeg,0
113.jpeg,0
114.jpeg,0
115.jpeg,0
116.jpeg,0
117.jpeg,0
118.jpeg,0
119.jpeg,0
120.jpeg,0
121.jpeg,0
122.jpeg,0
123.jpeg,0
124.jpeg,0
125.jpeg,0
